osm_id,name,ref,type,oneway,bridge,maxspeed,BUFF_DIST,ORIG_FID
133661071,京岚线,G104,trunk,1,0,0,10.0,302
133661073,None,None,secondary,0,0,0,10.0,303
133901468,京沪高速,G2,motorway_link,1,0,0,10.0,304
134688152,None,None,secondary,0,0,0,10.0,305
134688195,京沪高速,G2,motorway,1,0,0,10.0,306
134688198,京沪高速,G2,motorway,1,0,0,10.0,307
134688202,京沪高速,G2,motorway,1,1,0,10.0,308
134688204,京沪高速,G2,motorway,1,1,0,10.0,309
134751992,None,None,residential,0,0,0,10.0,310
134751993,None,None,unclassified,0,0,0,10.0,311
134751994,None,None,residential,0,0,0,10.0,312
134751995,None,None,residential,0,0,0,10.0,313
134752005,None,None,service,0,0,0,10.0,314
134752006,None,None,residential,0,0,0,10.0,315
134752008,None,None,unclassified,0,0,0,10.0,316
134752009,None,None,residential,0,0,0,10.0,317
134752013,None,None,residential,0,0,0,10.0,318
134752014,None,None,residential,0,0,0,10.0,319
134752017,None,None,unclassified,0,0,0,10.0,320
134752018,None,None,residential,0,0,0,10.0,321
134752019,None,None,residential,0,0,0,10.0,322
134752020,None,None,residential,0,0,0,10.0,323
134752021,None,None,residential,0,0,0,10.0,324
134752022,None,None,residential,0,0,0,10.0,325
134752023,None,None,residential,0,0,0,10.0,326
134752024,None,None,residential,0,0,0,10.0,327
134752025,None,None,residential,0,0,0,10.0,328
134752026,None,None,residential,0,0,0,10.0,329
134752027,None,None,residential,0,0,0,10.0,330
134752030,None,None,residential,0,0,0,10.0,331
134752031,None,None,residential,0,0,0,10.0,332
134752032,None,None,residential,0,0,0,10.0,333
134752033,None,None,residential,0,0,0,10.0,334
134752034,None,None,residential,0,0,0,10.0,335
134752035,None,None,residential,0,0,0,10.0,336
134752037,None,None,residential,0,0,0,10.0,337
134752038,None,None,residential,0,0,0,10.0,338
134752039,None,None,residential,0,0,0,10.0,339
134752041,None,None,residential,0,0,0,10.0,340
134752042,None,None,tertiary,0,0,0,10.0,341
134752044,None,None,residential,0,0,0,10.0,342
134752045,None,None,residential,0,0,0,10.0,343
134752047,None,None,residential,0,0,0,10.0,344
134752048,None,None,residential,0,0,0,10.0,345
134783520,None,None,service,1,0,0,10.0,346
134783522,None,None,tertiary,0,0,0,10.0,347
134783524,None,None,service,1,0,0,10.0,348
134783526,None,None,residential,0,0,0,10.0,349
134783529,None,None,tertiary,0,1,0,10.0,350
134783530,None,None,service,0,0,0,10.0,351
134783532,None,None,service,0,0,0,10.0,352
134783533,None,None,tertiary,0,0,0,10.0,353
134783535,None,None,residential,0,0,0,10.0,354
134783536,None,None,residential,0,0,0,10.0,355
134783539,None,None,tertiary,0,0,0,10.0,356
134783548,None,None,service,1,0,0,10.0,357
134783551,None,None,service,1,0,0,10.0,358
134783555,None,None,service,0,0,0,10.0,359
134783557,None,None,residential,0,0,0,10.0,360
134783558,None,None,tertiary,0,0,0,10.0,361
134783559,None,None,service,0,0,0,10.0,362
134783563,None,None,track,0,0,0,10.0,363
134783565,泗村店服务区,None,services,0,0,0,10.0,364
134783566,泗村店服务区,None,services,0,0,0,10.0,365
134783568,京沪高速,G2,motorway,1,0,0,10.0,366
134783570,京沪高速,G2,motorway,1,1,0,10.0,367
134783573,京沪高速,G2,motorway,1,1,0,10.0,368
134783576,京沪高速,G2,motorway,1,0,0,10.0,369
134796171,None,None,track,0,0,0,10.0,370
134796181,None,None,track,0,0,0,10.0,371
134796183,None,None,track,0,0,0,10.0,372
134816703,None,None,tertiary,0,0,0,10.0,373
134816704,None,None,unclassified,0,0,0,10.0,374
134816707,None,None,secondary,0,0,0,10.0,375
134816708,None,None,unclassified,0,0,0,10.0,376
134816709,None,None,unclassified,0,0,0,10.0,377
134816710,None,None,unclassified,0,1,0,10.0,378
134816712,None,None,tertiary,0,1,0,10.0,379
134816714,None,None,unclassified,0,1,0,10.0,380
134816715,None,None,residential,0,0,0,10.0,381
134816717,None,None,residential,0,0,0,10.0,382
134816718,None,None,unclassified,0,1,0,10.0,383
134816719,None,None,track,0,0,0,10.0,384
134816720,None,None,unclassified,0,1,0,10.0,385
134816721,None,None,residential,0,0,0,10.0,386
134816722,None,None,unclassified,0,1,0,10.0,387
134816724,None,None,track,0,0,0,10.0,388
134816725,None,None,track,0,1,0,10.0,389
134816727,None,None,unclassified,0,0,0,10.0,390
134816728,None,None,residential,0,0,0,10.0,391
134816729,None,None,residential,0,0,0,10.0,392
134816730,None,None,unclassified,0,1,0,10.0,393
134816731,None,None,residential,0,0,0,10.0,394
134816732,None,None,unclassified,0,0,0,10.0,395
134816733,None,None,residential,0,0,0,10.0,396
134816735,None,None,residential,0,0,0,10.0,397
134816736,None,None,residential,0,0,0,10.0,398
134816739,None,None,unclassified,0,1,0,10.0,399
134816741,None,None,unclassified,0,0,0,10.0,400
134816742,None,None,residential,0,0,0,10.0,401
134816743,None,None,secondary,0,1,0,10.0,402
134816744,None,None,residential,0,0,0,10.0,403
134816745,None,None,unclassified,0,0,0,10.0,404
134816746,None,None,residential,0,0,0,10.0,405
134816748,None,None,unclassified,0,0,0,10.0,406
134816750,None,None,unclassified,0,0,0,10.0,407
134816751,None,None,residential,0,0,0,10.0,408
